GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PathFinding,net.mooctest,Point,3,18,0,0,1,3,1,3,1,3
PathFinding,net.mooctest,Nodes,44,306,11,35,7,72,12,24,1,12
PathFinding,net.mooctest,AStar,65,419,20,44,23,96,19,28,0,11
PathFinding,net.mooctest,Grid,16,309,13,43,1,49,13,32,0,17
PathFinding,net.mooctest,ThreadLocalAStar.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
PathFinding,net.mooctest,ThreadLocalAStar,12,0,0,0,3,0,3,0,3,0
PathFinding,net.mooctest,TooLongPathException,4,0,0,0,2,0,1,0,1,0
PathFinding,net.mooctest,Reachability,80,419,34,66,15,76,31,29,2,8
PathFinding,net.mooctest,Node,20,70,1,1,3,11,3,6,2,6
PathFinding,net.mooctest,Path,16,108,5,13,2,24,5,13,0,9
PathFinding,net.mooctest,Utils,24,25,7,5,7,5,8,3,3,2
PathFinding,net.mooctest,Cost,3,12,0,0,1,1,1,1,1,1
